pmid,title,abstract,year,journal,layer
41483736,Intracranial activity of antibody-drug conjugates in advanced non-small cell lung cancer: What have we accomplished so far?,"Antibody-drug conjugates (ADCs) represent a rapidly evolving class of therapeutics in non-small cell lung cancer (NSCLC), offering targeted delivery of cytotoxic payloads to tumor cells while minimizing off-target toxicity. Although ADCs have demonstrated promising results in NSCLC, their efficacy in treating central nervous system (CNS) metastases has been uncertain due to concerns over blood-brain barrier (BBB) penetration and the lack of dedicated CNS-specific evaluations in clinical trials. However, emerging evidence challenges this paradigm. While earlier-generation ADCs such as T-DM1 exhibited limited CNS efficacy, newer ADCs employing optimized linkers and cytotoxins demonstrate more favorable efficacy and toxicity profiles. Selected agents, including trastuzumab deruxtecan, datopotamab deruxtecan and patritumab deruxtecan, have all shown intracranial responses in patients with advanced NSCLC with brain metastases (BM). Proposed mechanisms facilitating CNS activity include BBB disruption by BM, membrane-permeable and highly potent cytotoxic payloads, and bystander effects that enable tumor cell killing beyond the target antigen. Nevertheless, several limitations remain, including variability in trial designs, limited number of patients with untreated CNS disease, and a lack of CNS-specific endpoints. Given the high incidence of BM in NSCLC and their significant impact on patient outcomes, there is an urgent need to better understand the intracranial activity of ADCs and whether they can prevent the development of CNS metastases, especially as some of these ADCS are being tested in the curative-intent setting. This review synthesizes current evidence and highlights ongoing trials, with a focused examination of the evolving role of ADCs in the management of BM.",2025,Cancer treatment reviews,L1_scientific_engagement
41483728,Effect of quetiapine versus haloperidol on delirium severity in hospitalized adults: A systematic review and meta‑analysis.,"Delirium is a neuropsychiatric condition, characterized by cloudy state of consciousness. Though commonly treated by haloperidol, quetiapine offers its own distinct benefits. A focused systematic review and meta-analysis was performed comparing efficacy of quetiapine with haloperidol in hospitalized adults experiencing delirium. According to PRISMA guidelines, PubMed, Cochrane, Embase and Google scholar were systematically searched. Only RCTs comparing quetiapine and haloperidol monotherapies on adult human patients diagnosed with delirium were included, with delirium severity as primary outcome. A random-effects model was employed for data analysis using Review Manager (RevMan). 3 RCTs were identified having 215 patients, with 105 receiving quetiapine and 110 receiving haloperidol (mean age ± SD: 57.25 ± 13.09, males: 57.67 %, mean follow up days ± SD: 5.75 ± 1.89). Pooled analysis showed no statistically significant differences in delirium severity (MD: -0.80, 95 % CI: [-2.05, 0.44], I² = 10 %), mortality (RR: 0.60, 95 % CI: [0.29, 1.27, I² = 0 %], sleep time (MD: 1.59, 95 % CI: [-0.45, 3.63], I² = 77 %) and response rate (RR: 0.89, 95 % CI: [0.51, 1.56], I² = 85 %). This study shows no significant difference in overall effect of quetiapine and haloperidol in delirium management. However, due to paucity of RCTs, limited sample size and high heterogeneity, subsequent research is needed to identify optimal pharmacological interventions for delirium management.",2025,Asian journal of psychiatry,L1_scientific_engagement
41483727,"Vision-language models in diagnostic imaging: review of technical advances, clinical validation, and practical deployment.","Radiology faces an unprecedented workload crisis, creating demand for AI solutions to enhance efficiency and quality. Vision-language models (VLMs) represent a paradigm shift from narrow AI tools to integrated systems for image interpretation and report generation. However, their rapid technical progress has outpaced rigorous clinical validation, creating a critical gap between their theoretical potential and safe, practical deployment. To critically review the state of VLMs in diagnostic imaging by evaluating their clinical validation, identifying deployment challenges, and assessing their impact on the radiological workflow. This review provides a roadmap for responsible clinical integration by analyzing the gap between model performance and real-world utility. A narrative review of literature was conducted from January 2017 to May 2025. The search focused on VLM applications in radiology, including automated report generation and visual question answering. We synthesized findings from technical and clinical validation studies, thematically organized around architectural evolution, applications, validation, and implementation barriers. A clear progression from encoder-decoder models to sophisticated LLM-integrated foundation models was identified. While these models achieve high performance on NLP metrics, their clinical utility is limited. Key findings include: (1) Pervasive model hallucination, with factual errors in ∼ 22 % of AI-generated reports; (2) A lack of external validation on diverse, multi-institutional datasets; (3) Significant implementation barriers, including high computational costs, poor workflow integration, and unresolved liability. Human expert evaluations show that while AI-generated reports for routine cases are often acceptable (77.7 % in one study), accuracy declines significantly in complex cases. VLMs hold transformative potential but are not ready for autonomous clinical use. Their primary value lies in augmenting radiologists' workflow. For successful adoption, the field must shift focus from algorithmic metrics to proving clinical safety and efficacy through rigorous validation, developing robust hallucination mitigation strategies, and designing seamless workflow integrations.",2025,International journal of medical informatics,L1_scientific_engagement
41483666,The complexity of dystrophin transcription and processing: implications of transcript imbalance on dystrophin gene targeting strategies.,"Duchenne muscular dystrophy (DMD) is a rare genetic disorder affecting male children, characterized by progressive muscle wasting and weakness. It is a fatal disease, typically leading to death between the ages of 20 and 40, and currently, there is no effective cure. DMD is caused by mutations, most commonly large deletions, in the DMD gene, one of the largest genes in the human genome. This gene also exhibits a distinctive feature known as transcript imbalance, which refers to the unbalance expression of the transcript along its length, with the 5' end being more abundantly expressed than the 3' end. Although transcript imbalance was first described in 1995, it remains a poorly understood phenomenon with many unanswered questions. This review highlights the need for a deeper investigation into transcript imbalance, which has not yet received sufficient attention from the scientific community or from sponsors involved in DMD translational research. Understanding and addressing this phenomenon is critical not only for refining antisense oligonucleotide (AON) therapies and enhancing their therapeutic efficacy, but also for developing innovative strategies that improve DMD transcript targeting and muscle delivery.",2025,Neuromuscular disorders : NMD,L1_scientific_engagement
41483580,EEG biomarkers for a precision-medicine approach to noninvasive brain stimulation for major depressive disorder.,"Major depressive disorder (MDD) is a prevalent and disabling condition with high rates of treatment resistance. Non-invasive brain stimulation (NIBS), including transcranial magnetic stimulation (TMS) and transcranial electrical stimulation (tES), has emerged as a promising option for individuals unresponsive to pharmacotherapy. However, many patients still fail to achieve meaningful improvement, underscoring the need for reliable biomarkers of treatment response. Electroencephalography (EEG) and combined TMS-EEG are increasingly explored as predictive tools because they index cortical excitability, connectivity and neuroplasticity. In this systematic review, we synthesize evidence from 18 high-quality studies evaluating EEG and TMS-EEG biomarkers of NIBS outcomes in MDD. Resting-state EEG studies highlight the relevance of spectral power alterations, frontal alpha asymmetry and connectivity measures, whereas TMS-EEG work emphasizes TMS-evoked potentials, particularly N100 and N45 components, in forecasting clinical response. Although results are encouraging, methodological heterogeneity, modest sample sizes and divergent stimulation protocols limit immediate clinical implementation. Nonetheless, converging findings indicate that pre-treatment EEG and TMS-EEG assessments can support a precision-medicine approach by informing target selection and stimulation parameters. Systematic integration of these neurophysiological markers could enhance personalization of NIBS, increase response rates and advance the development of mechanism-based interventions for depression across diverse patient profiles and clinical settings worldwide.",2025,Psychiatry research. Neuroimaging,L1_scientific_engagement
41483505,The role of phototherapy in pediatric dermatology.,"Phototherapy is one of the widely used therapeutic options in dermatology, and it has proven effective for many dermatological conditions. It includes various modalities such as heliotherapy, broad-band UVB, narrow-band UVB, excimer laser, UVA1, UVA with Psoralens (PUVA), among others. The mechanisms behind phototherapy's efficacy include proapoptotic, immunomodulatory, propigmenting, antifibrotic, and antipruritic effects. In this context, the effectiveness of this modality has been demonstrated in pediatric patients with various conditions; however, no consensus has yet been established regarding its use in this population. A comprehensive literature review was conducted to identify the most recent studies and advancements in the use of phototherapy in the pediatric population. Phototherapy is a safe and effective therapeutic modality that can be used in multiple conditions, such as psoriasis, vitiligo, atopic dermatitis, mycosis fungoides, pityriasis lichenoides, and actinic prurigo, among others. The therapeutic outcomes depend on the condition being treated, the type of phototherapy used, and the appropriate selection of patients. The phototherapy with NB-UVB is the most commonly use and preferred modality due to its efficacy and lower risk associated. Careful monitoring is recommended to assess long-term safety and optimize pediatric treatment protocols.",2025,Anais brasileiros de dermatologia,L1_scientific_engagement
41483501,"Tirzepatide in dermatology: cutaneous adverse events, emerging therapeutic roles, and cosmetic implications - A comprehensive review.","Tirzepatide, a dual Glucose-dependent Insulinotropic Polypeptide (GIP) and Glucagon-Like Peptide-1 (GLP-1) receptor agonist. Tirzepatide was first approved by the FDA for type 2 diabetes in May 2022 and subsequently for obesity in November 2023, and has demonstrated significant efficacy in glycemic control and weight reduction. Beyond its metabolic benefits, recent evidence highlights its relevance in dermatology. This review explores the dermatologic implications of tirzepatide, including its cutaneous adverse effects, therapeutic potential in inflammatory skin diseases, and cosmetic benefits. Cutaneous side effects such as hypersensitivity reactions, injection-site reactions, and rare severe dermatologic events have been documented. Across the SURPASS clinical trials, injection-site reactions occurred slightly more frequently, comparable to other GLP-1 receptor agonists as semaglutide. Meanwhile, tirzepatide's immunomodulatory properties suggest potential therapeutic roles in conditions like psoriasis and hidradenitis suppurativa; however, current evidence is limited to case reports and small studies. Additionally, its profound effects on fat distribution raise interest in its cosmetic implications. Tirzepatide's induced rapid weight loss may lead to aesthetic changes, including facial volume loss, which warrants cautious interpretation. This narrative review summarizes current data from clinical trials, case reports, and pharmacovigilance sources, based on a literature search of PubMed, Scopus, and Google Scholar up to May 2025, focusing on skin-related adverse events, therapeutic effects, and cosmetic outcomes of tirzepatide.",2025,Anais brasileiros de dermatologia,L1_scientific_engagement
41483491,Homologous recombination deficiency in endometrial cancer: shedding light on recent clinical findings.,"Endometrial cancer is the most common gynecologic malignancy in the United States, with rising incidence and high recurrence rates. Immune checkpoint inhibitors (ICIs) benefit patients with mismatch repair-deficient (dMMR) tumors, but options remain limited for those with mismatch repair-proficient (pMMR) disease. Homologous recombination deficiency (HRD), a genomic instability phenotype, has emerged as a therapeutic target. Poly(adenosine diphosphate-ribose) polymerase inhibitors (PARPis) are being investigated in endometrial cancer, with studies exploring whether HRD predicts response, particularly in combination with ICIs or chemotherapy. This review examines HRD in endometrial cancer, focusing on its molecular basis, clinical implications, and emerging therapeutic strategies. HRD occurs in a sub-set of endometrial cancers, particularly non-endometrioid sub-types, and is linked to genomic instability and platinum sensitivity. The Cancer Genome Atlas (TCGA) molecular classification has improved understanding of HRD prevalence across sub-types. HRD testing remains challenging due to a lack of standardization, with current methods including genomic-scar assays, next-generation sequencing, and functional assays. Clinical trials, such as DUO-E and RUBY-2, suggest that PARPi combined with ICIs or chemotherapy may improve outcomes in pMMR tumors, whereas PARPi monotherapy offers limited benefits. Resistance to PARPi is common, driven by the restoration of homologous recombination repair, replication fork stabilization, and drug efflux. HRD is a promising biomarker and therapeutic target in endometrial cancer. Evidence supports the integration of PARPi for select populations, although further research is needed to refine testing, optimize patient selection, and overcome resistance. Future trials should prioritize predictive biomarkers and novel combinations to maximize the benefits of PARPi in HRD endometrial cancer.",2025,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,L1_scientific_engagement
41482263,Role of oral tetracyclines in preventing acneiform rash in patients with non-small cell lung cancer treated with epidermal growth factor receptor tyrosine kinase inhibitors: a systematic review.,"Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKIs) are the current first-line therapy for non-small cell lung cancer (NSCLC). Acneiform rash is a common adverse effect of this treatment, leading to treatment interruption and affecting the patients' quality of life. We conducted a systematic review to assess the role of oral tetracyclines in the prevention of acneiform rash on patients with NSCLC on EGFR TKIs. We conducted a search across Pubmed, Web of Science and Cochrane databases in January 2025. Studies were included if they evaluated prophylactic treatment with oral tetracyclines for acneiform rash in patients with non-small cell lung cancer initiating concomitant epidermal growth factor receptor tyrosine kinase inhibitor therapy. Two of the 7 selected studies found tetracyclines to reduce all-grade rash - doxycycline (74.2% to 57.2%) and tetracycline (75.6% to 44.5%; p = 0.046). Two found tetracyclines did not reduce all-grade rash but were effective in reducing high-grade rash - doxycycline (19% to 4%; p < 0.001) and minocycline (28% to 12%; p = 0.0455). Single-arm studies reported varying rash incidences rates with minocycline (from 44.8% to 68.3%), inferior to those found in the major trials used for comparison (67% and 77.7%). Oral tetracyclines appear to reduce the incidence of all-grade acneiform rash or, alternatively, to decrease the incidence of high-grade rash. Preventive treatment for acneiform rash at the initiation of epidermal growth factor receptor tyrosine kinase inhibitor therapy should therefore be considered. Further controlled trials are needed to confirm the efficacy of oral tetracyclines in preventing acneiform rash.",2025,Actas dermo-sifiliograficas,L1_scientific_engagement
41482234,"Integrating Nuclear Techniques, Isotopic Tracing, Omics, and Artificial Intelligence in Nutritional Systems for Advancing Precision Public Health Nutrition.","Understanding the complex interplay between diet, nutrient metabolism, and chronic disease risk is central to advancing precision public health nutrition. Conventional dietary assessments often fail to capture the biochemical and interindividual variability necessary for mechanistic interpretation and the development of personalized nutritional interventions. Recent advances in nuclear techniques, particularly stable isotope tracing, combined with multi-omics technologies and artificial intelligence (AI), provide a transformative framework for high-resolution nutritional analysis. This review critically synthesized these interdisciplinary innovations, highlighting how the integration of stable isotope methodologies, omics platforms-including genomics, transcriptomics, proteomics, metabolomics, and microbiomics-and AI-driven data analytics enables dynamic, quantitative mapping of nutrient metabolism and gene-diet interactions. Stable isotope tracers offer in vivo precision for measuring nutrient absorption, bioavailability, and metabolic fluxes; omics platforms elucidate molecular responses to dietary exposures; and AI enhances data harmonization, causal inference, and predictive modeling. Together, these approaches support biomarker discovery, personalized nutrition, and population-level dietary interventions targeting both malnutrition and non-communicable diseases (NCDs). We propose the Nutritional Systems Integration (NSI) framework, which operationalizes isotope-omics-AI convergence to inform evidence-based, adaptive nutrition policies. This systems-driven paradigm establishes feedback loops connecting research, clinical application, and public health strategy-advancing global goals in food security, health equity, and disease prevention. Embracing such integrative methodologies can transform nutrition science from descriptive epidemiology into predictive, precision-based solutions for sustainable and equitable health outcomes.",2025,The Journal of nutrition,L1_scientific_engagement
